Hidden Layers,Accuracy,Acc Lower CI,Acc Upper CI,F1,F1 Lower CI,F1 Upper CI
"(24, 49, 99, 148)",0.8083243243243242,0.6622316643096835,0.9544169843389649,0.5530615703029496,0.19625072248894354,0.9098724181169555
"(24, 49, 99, 198)",0.803027027027027,0.699386979173579,0.906667074880475,0.544934747043323,0.2569456240090309,0.8329238700776151
"(24, 49, 148)",0.8164684684684685,0.718476365418408,0.9144605715185291,0.5791284367767928,0.30498747774613233,0.8532693958074533
"(24, 49, 148, 24)",0.7948828828828829,0.6715883012486178,0.918177464517148,0.5214337564869373,0.20240668788765942,0.8404608250862153
"(24, 49, 148, 49)",0.8110630630630631,0.6753273083088058,0.9467988178173203,0.5477018936229462,0.18670171424866566,0.9087020729972267
"(24, 49, 148, 99)",0.8002882882882882,0.6865136324042456,0.9140629441723309,0.5266618439032231,0.2342646829907597,0.8190590048156865
"(24, 49, 148, 148)",0.7948468468468468,0.6525389033075504,0.9371547903861432,0.5050502425502426,0.09324359449796438,0.9168568906025207
"(24, 49, 148, 198)",0.7948468468468468,0.6659919898599654,0.9237017038337282,0.4956306721468011,0.10187190692671766,0.8893894373668846
"(24, 49, 198)",0.8056576576576576,0.6745089955279553,0.93680631978736,0.5512912087912087,0.22283127689097643,0.8797511406914411
"(24, 49, 198, 24)",0.8029909909909909,0.6927504909196209,0.9132314910623609,0.5278588945481986,0.2069956088960761,0.8487221802003211
"(24, 49, 198, 49)",0.8137657657657658,0.6861480015611967,0.9413835299703348,0.5575944705316521,0.19382276725233566,0.9213661738109686
"(24, 49, 198, 99)",0.8219099099099101,0.6900516590454102,0.95376816077441,0.5806080830552467,0.22918065272421317,0.9320355133862802
"(24, 49, 198, 148)",0.8218018018018018,0.6748569857117728,0.9687466178918309,0.5874249249249249,0.21242651912310895,0.9624233307267409
