,rank,1s,dbn,school_name,economic_need_index,grade_7_enrollment,num_shsat_test_takers,pct_test_takers,percent_black__hispanic,minority_delta,score
127,111,0.0,06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,0.867,53.0,0.0,0.0,99.0,27,0.0
410,112,0.0,27Q319,VILLAGE ACADEMY,0.75,119.0,37.0,30.0,97.0,23,0.0
311,113,0.0,29Q192,I.S. 192 THE LINDEN,0.48700000000000004,152.0,18.0,11.0,95.0,57,0.0
396,114,0.0,09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,0.86,151.0,35.0,22.0,96.0,40,0.0
301,115,0.0,29Q355,COLLABORATIVE ARTS MIDDLE SCHOOL,0.557,93.0,17.0,16.0,97.0,30,0.0
315,116,0.0,10X308,BRONX DANCE ACADEMY SCHOOL,0.8240000000000001,92.0,19.0,23.0,97.0,27,0.0
113,117,0.0,31R051,I.S. 051 EDWIN MARKHAM,0.604,461.0,101.0,23.0,66.0,89,0.0
188,118,0.0,06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,0.8,59.0,8.0,16.0,99.0,22,0.0
227,119,0.0,29Q138,P.S./M.S. 138 SUNRISE,0.545,116.0,10.0,9.0,92.0,45,0.0
429,120,0.0,27Q282,KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,0.599,88.0,42.0,50.0,92.0,3,0.0
225,121,0.0,23K671,MOTT HALL BRIDGES ACADEMY,0.8,65.0,10.0,14.0,98.0,23,0.0
446,122,0.0,27Q226,J.H.S. 226 VIRGIL I. GRISSOM,0.55,320.0,58.0,17.0,55.0,58,0.0
351,123,0.0,10X390,M.S. 390,0.9109999999999999,188.0,24.0,14.0,98.0,70,0.0
138,124,0.0,12X098,J.H.S. 098 HERMAN RIDDER,0.865,86.0,0.0,0.0,96.0,42,0.0
411,125,0.0,28Q072,CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,0.614,142.0,37.0,28.0,83.0,29,0.0
371,126,0.0,28Q332,REDWOOD MIDDLE SCHOOL,0.578,111.0,27.0,25.0,85.0,25,0.0
454,127,0.0,24Q093,I.S. 093 RIDGEWOOD,0.675,357.0,78.0,20.0,72.0,75,0.0
56,128,0.0,27Q210,J.H.S. 210 ELIZABETH BLACKWELL,0.602,643.0,169.0,26.0,67.0,106,0.0
81,129,0.0,31R024,I.S. 024 MYRA S. BARNES,0.254,460.0,132.0,34.0,13.0,13,0.0
289,130,0.0,24Q311,CORONA ARTS AND SCIENCES ACADEMY,0.7859999999999999,294.0,16.0,13.0,95.0,127,0.0
191,131,0.0,10X206,I.S. 206 ANN MERSEREAU,0.909,64.0,8.0,11.0,97.0,24,0.0
